Hotel Id,HOTEL_NAME,LANDMARK,RATING,TOTAL REVIEWERS,PRICE PER NIGHT,Address Id
htl68,The Curtis Denver - a DoubleTree by Hilton Hotel,0.2 miles to City center,4,"2,209 reviews",153,adr68
htl69,Hyatt Place Denver/Cherry Creek,4.7 miles to City center,4,894 reviews,127,adr69
htl70,Holiday Inn Hotel & Suites Denver Tech Center-Centennial,13 miles to City center,4.5,38 reviews,97,adr70
htl71,Holiday Inn Denver East - Stapleton,5.0 miles to City center,4,885 reviews,136,adr71
htl72,Fairfield Inn & Suites by Marriott Denver Downtown,1.2 miles to City center,4.5,102 reviews,130,adr72
htl73,"Country Inn & Suites by Radisson, Atlanta Airport South, GA",10 miles to City center,4,755 reviews,,adr73
htl74,Extended Stay America - Atlanta - Kennesaw Town Center,21 miles to City center,3.5,122 reviews,94,adr74
htl75,Hyatt Place Atlanta/Alpharetta/North Point Mall,20 miles to City center,4,552 reviews,,adr75
htl76,Hyatt Regency Atlanta Downtown,0.4 miles to City center,4,"5,184 reviews",122,adr76
htl77,La Quinta by Wyndham Atlanta Airport North,7.1 miles to City center,4.5,534 reviews,110,adr77
htl78,La Quinta by Wyndham Atlanta Ballpark/Galleria,9.1 miles to City center,4.5,723 reviews,,adr78
htl79,Georgia Tech Hotel and Conference Center,1.4 miles to City center,4.5,"1,160 reviews",143,adr79
htl80,"Glenn Hotel, Autograph Collection",0.3 miles to City center,4,824 reviews,127,adr80
htl81,The Highland Inn,2.3 miles to City center,3.5,544 reviews,74,adr81
htl82,DoubleTree by Hilton Hotel Wilmington,22 miles to City center,4,808 reviews,135,adr82
htl83,Aloft Philadelphia Downtown,0.2 miles to City center,4.5,363 reviews,170,adr83
htl84,Hilton Philadelphia at Penn's Landing,1.3 miles to City center,4,"2,884 reviews",,adr84
htl85,Wyndham Philadelphia Historic District,1.0 mile to City center,4,"2,316 reviews",144,adr85
htl86,Sofitel Philadelphia at Rittenhouse Square,0.2 miles to City center,4.5,"3,708 reviews",197,adr86
htl87,Courtyard by Marriott Philadelphia Downtown,0.2 miles to City center,4.5,"1,280 reviews",161,adr87
htl88,Philadelphia Marriott Downtown,0.2 miles to City center,4,"3,806 reviews",159,adr88
htl89,Crowne Plaza Wilmington North,18 miles to City center,3.5,238 reviews,,adr89
